M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1112:5893:15079
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1107:22141:14097
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1108:20468:15486
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1101:26013:9923
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1108:19792:14516
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1114:18197:22420
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1113:22726:20950
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2105:8371:11307
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1105:16511:1782
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2104:4289:10068
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2104:14344:21881
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2114:7986:16158
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1109:22775:14989
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2112:21395:12614
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2105:26914:7535
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2105:27533:19571
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1103:23083:19164
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2109:11215:22978
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1114:23969:16019
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2101:23309:24792
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2111:10566:16694
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1114:1986:14860
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1105:13875:27553
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2108:15642:6452
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1101:10650:11084
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1102:8670:19112
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1111:5015:22073
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2105:2301:14469
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2110:17323:23077
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2108:12557:18200
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2110:21167:15812
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1106:27067:14682
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:1113:12014:19839
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2111:21757:13676
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2104:5712:18074
M00967:43:000000000-A3JHG:1:1112:5893:15079	M00967:43:000000000-A3JHG:1:2114:18290:27991
M00967:43:000000000-A3JHG:1:2113:18968:26567	M00967:43:000000000-A3JHG:1:2113:18968:26567
M00967:43:000000000-A3JHG:1:2113:18968:26567	M00967:43:000000000-A3JHG:1:1107:2510:16627
M00967:43:000000000-A3JHG:1:2113:18968:26567	M00967:43:000000000-A3JHG:1:1101:10522:20165
M00967:43:000000000-A3JHG:1:2113:18968:26567	M00967:43:000000000-A3JHG:1:1102:21852:9839
M00967:43:000000000-A3JHG:1:2113:18968:26567	M00967:43:000000000-A3JHG:1:1103:14157:6200
M00967:43:000000000-A3JHG:1:2113:18968:26567	M00967:43:000000000-A3JHG:1:1103:26069:12735
